0.0003,4077
0.0049,4076
0.0106,4075
0.0163,4076
0.0221,4075
0.0278,4077
0.0335,4077
0.0392,4077
0.0449,4076
0.0506,4075
0.0564,4075
0.0621,4077
0.0678,4077
0.0735,4078
0.0792,4076
0.0849,4076
0.0906,4077
0.0963,4076
0.102,4076
0.1078,4075
0.1135,4075
0.1192,4077
0.1249,4077
0.1306,4076
0.1363,4077
0.1421,4076
0.1478,4077
0.1535,4077
0.1592,4076
0.1649,4075
0.1707,4076
0.1764,4076
0.1821,4075
0.1878,4076
0.1935,4076
0.1992,4077
0.2049,4077
0.2107,4078
0.2164,4077
0.2221,4077
0.2278,4078
0.2335,4075
0.2392,4077
0.2449,4076
0.2506,4075
0.2563,4077
0.2621,4076
0.2678,4076
0.2735,4077
0.2792,4076
0.2849,4078
0.2907,4078
0.2964,4077
0.3021,4077
0.3078,4077
0.3136,4076
0.3193,4077
0.325,4077
0.3307,4075
0.3364,4077
0.3421,4076
0.3478,4075
0.3535,4076
0.3592,4077
0.365,4077
0.3707,4078
0.3764,4077
0.3821,4076
0.3878,4079
0.3935,4077
0.3992,4077
